Наименование|Обозначение|Кол-во|Материал|Материал2|Материал3|ID|Кол-во на изд.|Масса|Покуп. изд.|Сумм.кол-во|1|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|3|комплектация|изготовление|контроль|1|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|3|комплектация|изготовление|контроль|4|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|5|комплектация|изготовление|контроль|030101|комплектация|изготовление|контроль
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |5|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||0x1080005C6|1|0.132|+|30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |5|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||0x1080005C7|1|0.132|+|30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |5|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||0x1080005C8|1|0.132|+|30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |5|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||0x1080005C9|1|0.132|+|30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |5|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x1080005DC|1|0.039|+|60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |5|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x1080005DD|1|0.039|+|60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |5|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x1080005DE|1|0.039|+|60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |5|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x1080005DF|1|0.039|+|60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |5|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x1080005E0|1|0.039|+|60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |5|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||0x1080005E1|1|0.039|+|60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
