Наименование|Обозначение|Кол-во|Материал|Материал2|Материал3|Кол-во на изд.|Масса|Покуп. изд.|1|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|3|комплектация|изготовление|контроль|1|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|3|комплектация|изготовление|контроль|4|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|5|комплектация|изготовление|контроль|030101|комплектация|изготовление|контроль
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Шайба C.16.01.016 ГОСТ 11371-78|    |6|Шайба C.16.01.016 ГОСТ 11371-78|||6|0.0109|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |6|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||6|0.116|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |6|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||6|0.116|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |6|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||6|0.116|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |6|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||6|0.116|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |6|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||6|0.116|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|    |6|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x50-8.8-A6J|||6|0.116|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |6|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||6|0.039|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |6|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||6|0.039|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |6|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||6|0.039|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |6|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||6|0.039|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |6|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||6|0.039|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |6|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||6|0.039|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |6|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||6|0.132|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |6|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||6|0.132|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |6|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||6|0.132|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |6|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||6|0.132|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |6|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||6|0.132|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|    |6|Винт с шестигранной головкой ГОСТ Р ИСО 4017 - М16x60-8.8-A6J|||6|0.132|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |6|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||6|0.039|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |6|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||6|0.039|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |6|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||6|0.039|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |6|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||6|0.039|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |6|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||6|0.039|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|    |6|Гайка шестигранная нормальная ГОСТ ISO 4032 - М16-8-А6J|||6|0.039|+|||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
